code;object;qty;preliminary_size;thickness;finish;status
K01-K06;Крупные карты 10,J,J,Q,K,A пик;6;260 x 390 мм;6-8 мм;ручная роспись золото/черный;нужен финальный контур
C01-C08;Крупные покерные фишки;8;D145 мм;8-10 мм;ручная роспись красный/черный/золото;10 шт опционально
T01-T12;Средние жетоны;12;D75-D90 мм;6-8 мм;ручная роспись золото;14 шт опционально
S01-S36;Символы мастей;28-36;45-75 мм;4-6 мм;ручная роспись золото/черный;нужен финальный художественный SVG/DXF
E01-E05;Ромбы и эмблемы;3-5;95-130 мм;6-8 мм;ручная роспись;по утвержденному фасаду
